Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Median Home Value,Persons with Bachelor Degree,People in Labor Force,People Unemployed,Unemployment Rate
8518,5217.0,41.5,74286.0,33963.0,170.0,3.258577726662830,206300.0,724.0,3220.0,321.0,9.968944099378880
8520,27468.0,37.4,90293.0,37175.0,1834.0,6.6768603465851200,291300.0,4878.0,16187.0,1418.0,8.760116142583550
8525,4782.0,47.1,118656.0,59848.0,43.0,0.8992053534086160,449700.0,1011.0,3004.0,138.0,4.59387483355526
8527,54867.0,42.2,88588.0,37021.0,2191.0,3.9932928718537600,329500.0,7586.0,29204.0,2910.0,9.964388439939730
8528,245.0,48.5,58676.0,49117.0,0.0,0.0,326800.0,24.0,130.0,0.0,0.0
8530,7568.0,43.8,87396.0,46371.0,249.0,3.290169133192390,366100.0,1668.0,4058.0,201.0,4.9531789058649600
8533,6789.0,41.0,85301.0,30981.0,459.0,6.760936809544850,343700.0,609.0,3532.0,247.0,6.993204983012460
8534,13312.0,44.1,144250.0,66609.0,339.0,2.546574519230770,458500.0,2907.0,7093.0,423.0,5.963626110249540
8535,5657.0,43.5,147853.0,59097.0,127.0,2.245006187024930,577900.0,1146.0,3297.0,277.0,8.401577191386110
8536,19944.0,34.0,90089.0,46406.0,673.0,3.3744484556758900,431900.0,4648.0,11609.0,773.0,6.658626927383930
8540,47316.0,37.5,125439.0,61810.0,1969.0,4.161383041677230,571300.0,8938.0,24233.0,1452.0,5.9918293236495700
8542,4756.0,26.3,71393.0,37662.0,351.0,7.380151387720770,449100.0,640.0,2766.0,230.0,8.315256688358640
8550,19357.0,43.4,169661.0,70463.0,983.0,5.078266260267600,594200.0,4532.0,10051.0,770.0,7.6609292607700700
8551,5212.0,43.4,121154.0,54299.0,147.0,2.8204144282425200,502800.0,887.0,2985.0,182.0,6.097152428810720
8553,543.0,51.6,90972.0,57618.0,20.0,3.6832412523020300,442400.0,98.0,296.0,9.0,3.0405405405405400
8554,4023.0,39.6,71750.0,30004.0,169.0,4.200845140442460,181600.0,530.0,2217.0,175.0,7.893549842129000
8555,812.0,40.3,78083.0,30321.0,70.0,8.620689655172420,257400.0,151.0,407.0,44.0,10.81081081081080
8558,6495.0,44.2,154236.0,68556.0,187.0,2.8791377983063900,668900.0,1406.0,2879.0,250.0,8.68357068426537
8559,5226.0,48.4,108871.0,56242.0,93.0,1.7795637198622300,447900.0,1068.0,3154.0,185.0,5.865567533291060
8560,3249.0,47.0,113333.0,59497.0,175.0,5.38627269929209,376100.0,449.0,1750.0,144.0,8.228571428571430
8561,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,-666666666.0,0.0,0.0,0.0,
8562,5713.0,34.9,65036.0,26970.0,485.0,8.489410117276390,246100.0,413.0,3102.0,393.0,12.669245647969100
8608,921.0,37.6,14861.0,13521.0,321.0,34.85342019543970,-666666666.0,60.0,471.0,10.0,2.1231422505307900
8609,14884.0,33.0,27073.0,15337.0,5132.0,34.47997850040310,122800.0,635.0,7058.0,1509.0,21.379994332672100
8610,29222.0,38.5,61016.0,28416.0,3005.0,10.28334816234340,212000.0,2482.0,16691.0,1876.0,11.239590198310500
8611,26477.0,32.3,38672.0,16727.0,6253.0,23.616723949087900,107700.0,1089.0,13208.0,2168.0,16.41429436705030
8618,38057.0,32.5,41757.0,21134.0,7953.0,20.897600966970600,172300.0,2590.0,18103.0,3205.0,17.70424791471030
8619,23175.0,42.3,72330.0,34252.0,1017.0,4.388349514563110,257800.0,3504.0,13518.0,1146.0,8.477585441633380
8620,12638.0,43.2,88438.0,33407.0,359.0,2.8406393416679900,291200.0,1578.0,6488.0,420.0,6.473489519112210
8628,9579.0,42.7,80449.0,39103.0,581.0,6.06535128927863,268800.0,1792.0,5107.0,385.0,7.538672410417080
8629,12450.0,32.6,54956.0,21054.0,1961.0,15.751004016064300,142400.0,958.0,7221.0,1152.0,15.953469048608200
8638,23466.0,38.0,58371.0,24937.0,4280.0,18.239154521435300,207000.0,1978.0,12299.0,1691.0,13.749085291487100
8640,7381.0,35.1,68108.0,13835.0,232.0,3.143205527706270,-666666666.0,552.0,1500.0,50.0,3.3333333333333300
8641,4134.0,22.7,49980.0,16262.0,184.0,4.450895016932750,-666666666.0,245.0,1949.0,89.0,4.56644433042586
8648,32300.0,37.2,86451.0,38044.0,1761.0,5.452012383900930,289100.0,6269.0,18534.0,1564.0,8.438545376065610
8690,18766.0,46.5,96192.0,40979.0,229.0,1.2202920174784200,310300.0,3374.0,10561.0,550.0,5.207840166650890
8691,15431.0,41.6,109293.0,51883.0,548.0,3.551292852051070,412200.0,3584.0,8418.0,700.0,8.31551437396056
8701,92586.0,23.2,40240.0,14769.0,27363.0,29.554144255071000,280100.0,6645.0,29169.0,2688.0,9.215262778977680
8720,1031.0,28.1,104310.0,43403.0,0.0,0.0,448300.0,146.0,469.0,35.0,7.462686567164180
8721,20789.0,41.4,78847.0,33094.0,944.0,4.540862956371160,271300.0,2224.0,11285.0,1217.0,10.78422684980060
8722,11105.0,35.0,80386.0,30816.0,720.0,6.483565961278700,251200.0,1177.0,6161.0,423.0,6.865768544067520
8723,31769.0,43.1,66233.0,33114.0,2000.0,6.295445245364980,280300.0,3576.0,17101.0,2041.0,11.934974562891100
8724,42866.0,43.7,69797.0,33568.0,2318.0,5.407549106517990,266600.0,6069.0,23075.0,2328.0,10.088840736728100
8730,4782.0,46.8,111875.0,52622.0,113.0,2.3630280217482200,600000.0,1377.0,2362.0,238.0,10.076206604572400
8731,19868.0,42.6,64357.0,30511.0,1491.0,7.504529897322330,270900.0,2336.0,10970.0,1470.0,13.400182315405700
8732,1553.0,49.8,74375.0,39906.0,132.0,8.49967804249839,401500.0,331.0,784.0,70.0,8.928571428571430
8733,2787.0,33.0,60556.0,24717.0,256.0,9.185504126300680,212100.0,193.0,1530.0,169.0,11.045751633986900
8734,7907.0,43.3,86357.0,36882.0,332.0,4.198811179967120,290600.0,1141.0,4499.0,430.0,9.557679484329850
8735,3283.0,61.7,63200.0,44956.0,284.0,8.650624428876030,645100.0,651.0,1372.0,133.0,9.693877551020410
8736,12372.0,48.2,94250.0,55065.0,662.0,5.350792111218880,543200.0,2870.0,6222.0,323.0,5.191256830601090
8738,964.0,63.5,123750.0,92818.0,35.0,3.6307053941908700,1000001.0,285.0,399.0,21.0,5.2631578947368400
8740,1961.0,41.8,62857.0,29916.0,244.0,12.44263131055580,245900.0,255.0,1097.0,96.0,8.751139471285320
8741,2591.0,40.3,86146.0,34881.0,86.0,3.31918178309533,319400.0,371.0,1461.0,154.0,10.54072553045860
8742,24377.0,43.8,77700.0,39316.0,1636.0,6.711244205603640,377700.0,4280.0,13475.0,1197.0,8.883116883116880
8750,3596.0,52.1,103875.0,65829.0,69.0,1.9187986651835400,823200.0,977.0,1763.0,137.0,7.770845150311970
8751,4248.0,49.8,32733.0,24775.0,659.0,15.513182674199600,455900.0,512.0,1904.0,320.0,16.80672268907560
8752,1897.0,62.7,59028.0,41314.0,92.0,4.849762783342120,550100.0,409.0,819.0,87.0,10.622710622710600
8753,63891.0,40.3,76202.0,34756.0,4238.0,6.633172121269040,294000.0,8932.0,36104.0,3488.0,9.660979392865060
8755,25737.0,45.7,68109.0,36202.0,1250.0,4.8568209192990600,283900.0,3759.0,12044.0,1034.0,8.585187645300560
8757,33041.0,64.3,36595.0,25393.0,3227.0,9.766653551647950,156500.0,2416.0,10887.0,1409.0,12.94204096629010
8758,7512.0,53.6,70546.0,33778.0,507.0,6.7492012779552700,306300.0,1084.0,3445.0,476.0,13.817126269956500
8759,33033.0,69.0,35984.0,28401.0,2402.0,7.271516362425450,118800.0,3069.0,9654.0,1263.0,13.082660037290200
8801,8662.0,35.9,114050.0,45052.0,172.0,1.9856845993996800,425500.0,1674.0,3779.0,155.0,4.1016141836464700
8802,3603.0,43.3,110884.0,49471.0,167.0,4.635026366916460,389100.0,636.0,2154.0,220.0,10.21355617455900
8804,2679.0,42.2,103190.0,45405.0,59.0,2.202314296379250,345500.0,452.0,1593.0,161.0,10.106716886377900
8805,12340.0,35.7,67040.0,31531.0,949.0,7.690437601296600,302100.0,1425.0,7193.0,600.0,8.34144306965105
8807,38241.0,41.4,112474.0,46495.0,1540.0,4.027091341753620,437700.0,7590.0,20618.0,1648.0,7.9930158114269100
8808,52.0,40.3,54167.0,29587.0,4.0,7.6923076923076900,191700.0,6.0,36.0,6.0,16.666666666666700
8809,6471.0,41.0,95201.0,38696.0,244.0,3.770669139236590,340400.0,1116.0,3056.0,291.0,9.522251308900520
8810,9163.0,37.9,108283.0,40927.0,93.0,1.0149514351195000,376100.0,2392.0,4946.0,257.0,5.196118075212290
8812,14330.0,40.1,94562.0,41983.0,653.0,4.556873691556180,347600.0,2565.0,8245.0,489.0,5.93086719223772
8816,46550.0,42.2,96067.0,41839.0,2223.0,4.775510204081630,372800.0,10019.0,25381.0,2268.0,8.9358181316733
